ID,Description,TImesUsed
1,Vivint,1
2,Provo,3
3,508PEPSIVEN9147,3
4,Dominos,6
5,7-ELEVEN ,29
6,8778684049PRIME,1
7,8883041449FOREV,1
8,A Caring Vet Li,1
9,A EAGLE,2
10,ABC TEES INC OR,1
11,Spotify,1
12,AE OUTF ONLINE0,1
13,AEROFLOW ONLINE,1
14,AI ONO CAFE LIH,1
15,AIRBNB,6
16,YOGA,16
17,Al's Sporting G,1
18,AMAZON,31
19,Amazon Video,8
20,Amazon.com,11
21,AMERICAN AIR,4
22,AMERICAN EAGLE ,3
23,EyeBuyDirect ,1
24,AMZN Digital,2
25,AMZN Mktp,29
26,ITUNES.COM,74
27,APPLE.COM ,17
28,ARCTIC CIRCLE,4
29,"AROUND EATERY, ",1
30,ASOS US SALES L,1
31,ASR LODGING - P,2
32,AT HOME STORE 1,1
33,ATHLETA ONLINE ,1
34,AUNTIE ANNE PRE,1
35,AUTO AIR & VACU,1
36,AUTOMATIC WITHDRAWL,31
37,MYPERFRESUM,8
38,BARNESNOBLE,2
39,BARREL & ASHES ,1
40,BASS,1
41,BATH & BODY WOR,3
42,BEDBATH&BEYOND#,1
43,BEST IN MUSIC O,1
44,BETO'S MEXICAN ,7
45,BIG DADDYS PIZZ,1
46,bill.resumege,1
47,BLAZE PIZZA,1
48,BOHME,1
49,BOOK X CHANGE,2
50,BURGER KING,3
51,BUTTERBEER CART,1
52,BYU CREAMERY PR,1
53,BYU JAMBA JUICE,1
54,BYU TAKEOUT PRO,1
55,CAFE ALLURE ST ,1
56,CAFE RIO,29
57,CAFE ZUPAS,18
58,Campus Bookstore,3
59,CARNIVAL CRUISE,1
60,"carters, Inc. 8",1
61,CASEYS,2
62,CCRI BY UPMA SA,1
63,CENEX MENTZER I,1
64,JesusChrist ,2
65,CHARLIE CHOW'S ,1
66,CHEAPCRUISES.CO,1
67,CHENS NOODLE HO,1
68,CHEVRON,14
69,CHICK-FIL-A,25
70,CINEMARK THEATR,3
71,CITGO CONVENIEN,2
72,CITY OF SOUTH J,2
73,CLAIRE'S ,2
74,CO TRATTORIA MA,1
75,COEUR D'ALENE T,1
76,COLDSTONE,1
77,COLLEGE TRANSCR,1
78,COPPINS HALLMAR,1
79,CORELIFE EATERY,1
80,CORNER BAKERY,2
81,CORNER CANYON,4
82,COSMOPROF,1
83,COSMOPROF ,1
84,COSTCO,10
85,COUNTER CHECK,3
86,CPK MAIN HNL HO,1
87,CRAVE CAFE STUD,1
88,CRAVINGS ALISHA,1
89,CRU BISTRO & WI,1
90,CULTURE HAIR ST,1
91,CUPBOP ,1
92,CUROLOGY,5
93,CVS/PHARMACY,2
94,D AND S,7
95,DAIRY KEEN HEBE,1
96,DAIRY QUEEN,6
97,DALTON'S STEAKH,1
98,DBC*BLICK ART M,1
99,DELTA AIR,3
100,DENNY'S #7677 O,1
101,DEPOSIT ITEM RE,1
102,DEPOSITED ITEM ,1
103,DERVISH AND BAN,1
104,DESERET BOOK CO,4
105,DIDI CHUXING,14
106,DIS*DISNEY MOVI,1
107,DOLLAR TREE ORE,1
108,DOMINO'S,8
109,DOORDASH,8
110,DRAPER TACOTIME,1
111,DRIVER LICENSE ,1
112,EAGLE STOP,1
113,EARTHBOUND TRAD,1
114,EASYCANVASPRINT,1
115,EINSTEIN BROS B,5
116,EL AZTECA OREM ,2
117,ELEARNING AMERI,1
118,EMISSIONS PLUS ,1
119,ENTERPRISE RENT,1
120,Etsy.com,5
121,EVENT TICKET IN,1
122,EXPRESS.COM,2
123,EXXON EXPRESS S,1
124,EXXONMOBIL    4,1
125,EYEBUYDIRECT IN,3
126,FACEBK,6
127,FAMOUS FOOTWEAR,2
128,FANDANGO.COM,1
129,FC SMASHBURGER ,1
130,FEDEX,3
131,FIDDLER FIFER &,1
132,FIVE GUYS,1
133,FLATBREAD COMMU,1
134,FLYING J,1
135,FORD LOCKER PLA,1
136,FOREIGN EXCHANG,13
137,FRANCESCA'S B31,1
138,FRONTIER,3
139,FROSTY DRIVE IN,1
140,GALIVAN CENTER ,1
141,GAP,1
142,GET AIR HANG TI,1
143,GLAM NAILS SOUT,1
144,GLAMOUR NAILS &,1
145,GREAT HARVEST D,1
146,GROVE SLC JAMBA,1
147,GRUBHUB,3
148,H&M,2
149,HALLOWEEN CITY ,1
150,HARD ROCK VEGAS,1
151,HARMONS,40
152,HENRIE'S DRIVE ,1
153,HiSmile 041211 ,1
154,HOBBYLOBBY ,1
155,HOLIDAY,35
156,HOMESTEAD RESOR,2
157,HONEYBAKED HAM ,1
158,HONEYDUKES UNIV,1
159,HUNTS ACCOUNTIN,1
160,HYATT HOUSE SLC,1
161,FABLETICS,12
162,ICEBERG,1
163,IHOP,1
164,ILP,4
165,SODALICIOUS,13
166,IN N OUT BURGER,4
167,TAX,3
168,INDIEGOGO,1
169,INSOMNIA COOKIE,1
170,INTERMOUNTAIN,24
171,JACK & JILL ,1
172,JAMBA JUICE,2
173,"JANE, LLC",1
174,JCPENNEY,1
175,JCWS RESTAURANT,1
176,JETTY INSURANCE,12
177,JIFFY LUBE,1
178,JIMMY JOHNS,1
179,JINYA RAMEN BAR,1
180,JOANN,2
181,JUICE N JAVA,6
182,JUMPING WORLD L,1
183,KB EXPRESS 8 PA,1
184,KFC,1
185,KNEADERS BAKERY,14
186,KNOXVILLE,1
187,KOHINOOR LLC,4
188,KOHLS,1
189,KRISPY KREME ,9
190,KUM & GO,1
191,LA CASITA SPRIN,1
192,LA JOLLA GROVES,1
193,LAGOON     ,4
194,LAIE FOODLAND,1
195,LAKEVIEW FAMILY,1
196,LARD LAD DONUTS,1
197,LASH,7
198,LDS CHURCH     ,2
199,LEMONADE VENICE,1
200,Les Mills Media,1
201,LIMITLESSLUXURI,1
