Description,Account,Amount,DID,AID
2VIVINT ARENA 138762 SALT LAKE C IT UT        12/08,Meals and Entertainment,5,1,539
4TE*CITY OF PROVO PAR 866-764-20 02 UT        12/14,Taxes & Licenses,65,2,554
4TE*PROVO PEAKS ICE ARE PROVO UT 12/19,Meals and Entertainment,13,2,539
4TE*PROVO RECREATION CE PROVO UT 05/29,Meals and Entertainment,5,2,539
508PEPSIVEN914767860 SALT LAKE C IT UT        01/29,Meals and Entertainment,2,3,539
508PEPSIVEN914767860 SALT LAKE C IT UT        02/05,Meals and Entertainment,1.75,3,539
508PEPSIVEN914767860 SALT LAKE C IT UT        03/26,Meals and Entertainment,1.75,3,539
5466 Dominos Pizza 865-246-6330 TN           08/01,Business Trip,13.95,108,524
5466 Dominos Pizza 865-246-6330 TN           08/03,Meals and Entertainment,31.3,108,539
7502 Dominos Pizza 734-930-3030 UT           01/22,Meals and Entertainment,15.42,108,539
7-ELEVEN 33982 SOUTH JORDAN UT 04/27,Gas,25.32,5,516
7-ELEVEN 33982 SOUTH JORDAN UT 05/28,Gas,30.41,5,516
7-ELEVEN 33982 SOUTH JORDAN UT 07/11,Gas,30.19,5,516
7-ELEVEN DRAPER UT 492532  08/16,Gas,30.03,5,516
7-ELEVEN OREM UT 034881  11/16,Gas,37.06,5,516
7-ELEVEN OREM UT 049323  07/09,Gas,26.08,5,516
7-ELEVEN OREM UT 104876  07/14,Gas,18.12,5,516
7-ELEVEN OREM UT 107414  11/05,Gas,35.37,5,516
7-ELEVEN OREM UT 137582  06/25,Gas,27.46,5,516
7-ELEVEN OREM UT 250025  07/23,Gas,7.48,5,516
7-ELEVEN OREM UT 279586  04/12,Gas,20.55,5,516
7-ELEVEN OREM UT 343616  10/28,Gas,23.56,5,516
7-ELEVEN OREM UT 392037  06/06,Gas,35.4,5,516
7-ELEVEN OREM UT 422029  01/26,Gas,20.7,5,516
7-ELEVEN OREM UT 486578  07/03,Gas,50.16,5,516
7-ELEVEN OREM UT 518047  03/04,Gas,20.05,5,516
7-ELEVEN OREM UT 523096  05/21,Gas,30.43,5,516
7-ELEVEN OREM UT 594385  11/10,Gas,30.35,5,516
7-ELEVEN OREM UT 640310  10/02,Gas,25.72,5,516
7-ELEVEN OREM UT 654790  07/30,Gas,7.24,5,516
7-ELEVEN OREM UT 681277  10/18,Gas,6.28,5,516
7-ELEVEN OREM UT 735042  06/18,Gas,25.6,5,516
7-ELEVEN OREM UT 754674  07/06,Gas,6.97,5,516
7-ELEVEN OREM UT 759711  01/30,Gas,27.7,5,516
7-ELEVEN OREM UT 830049  07/16,Gas,9.66,5,516
